"";"Chrzest ognia";"COVID-19";"Czas pogardy";"Dragon Ball GT";"Dragon Ball Super";"Dragon Ball Z";"Dragon Ball";"Gra o Tron";"Grypa hiszpanka";"Honda Cicic VII";"Honda Civic IX";"Honda Civic VI";"Honda Civic VIII";"Krew elfów";"Nawa³nica mieczy. Krew i z³oto";"Nawa³nica mieczy. Stal i œnieg";"Ptasia grypa";"Starcie Królów";"Œwiñska grypa";"Wie¿a jaskó³ki"
"android";0;0;0;0;0,00142368346923744;0,00712423304663344;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ang";0;0,011309775182505;0;0,000467457829917371;0;0;0;0;0;0;0;0;0;0;0;0;0,0199052043212088;0;0;0
"anga¿owaæ";0;0;0;0;0;0;0;0,00107768693824631;0;0;0;0;0;0,00236966718109628;0;0;0;0,000361315589988938;0;0
"anguy";0;0;0;0;0;0;0;0,000436005787490138;0;0;0;0;0;0;0;0,00307871000452953;0;0;0;0
"anime";0;0;0;0,000467457829917371;0,00234597050928532;0,000838531125663666;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"animowany";0;0;0;0;0;0,00101774757809049;0,00245160745010137;0;0;0;0;0;0;0;0;0;0;0;0;0
"arena";0;0;0;0;0,00284736693847488;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0109997619036005
"areszt";0;0;0;0;0;0;0;0,000304754967172511;0;0;0;0;0;0;0,00082192144951765;0,00215192594521535;0;0,000306525161041236;0;0
"aresztowaæ";0;0;0;0;0,000331704013555337;0;0;0,000609509934345022;0;0;0;0;0;0,00201032735488083;0;0;0;0,000613050322082472;0;0
"argument";0;0;0;0;0;0;0;0,000609509934345022;0;0;0;0;0;0,00201032735488083;0;0,00107596297260767;0;0,000306525161041236;0;0
"armia";0,00302630342543882;0;0,00718747063541721;0,000294618779248528;0,000616068911607189;0;0,00381917258856117;0,0013584404403466;0;0;0;0;0;0,001493500391775;0,000610616974336329;0,00119902197810482;0;0,00113860920957104;0;0,00856784579056356
"arryn";0;0;0;0;0;0;0;0,0027427947045526;0;0;0;0;0;0;0,00082192144951765;0,00107596297260767;0;0,000306525161041236;0;0
"arryna";0;0;0;0;0;0;0;0,0039515187735698;0;0;0;0;0;0;0,000968837378465914;0;0;0,00108394676996681;0;0
"arstan";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00235180750080521;0,00153935500226476;0;0;0;0
"arya";0;0;0;0;0;0;0;0,00853313908083031;0;0;0;0;0;0;0,0049315286971059;0,0118355926986844;0;0,00858270450915461;0;0
"ary¹";0;0;0;0;0;0;0;0,000359228979415436;0;0;0;0;0;0;0,00290651213539774;0;0;0,000722631179977876;0;0
"aryê";0;0;0;0;0;0;0;0,00182852980303507;0;0;0;0;0;0;0,00246576434855295;0,00107596297260767;0;0,00153262580520618;0;0
"aryi";0;0;0;0;0;0;0;0,00182852980303507;0;0;0;0;0;0;0,00082192144951765;0,00215192594521535;0;0,00214567612728865;0;0
"asha";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00117590375040261;0;0;0,00219269181180684;0;0
"aso";0;0;0;0;0;0;0;0;0;0;0;0,00820229159231447;0,0229891217639264;0;0;0;0;0;0;0
"asshai";0;0;0;0;0;0;0;0,000436005787490138;0;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
"astaporu";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00117590375040261;0,00307871000452953;0;0;0;0
"atak";0;0;0;0,00546541417591802;0,00457142857142857;0,000919117647058824;0,000738007380073801;0,000918755742223389;0,00420168067226891;0;0;0;0;0,00173160173160173;0,00212389380530973;0,00139017608897127;0;0,00105610561056106;0;0
"atakowaæ";0,00605260685087765;0;0;0,0164986516379176;0,010966026626608;0,000264245243949162;0,00190958629428059;0,000566016850144419;0,00362393477415994;0;0;0;0;0,000746750195887502;0,000915925461504494;0,000799347985403211;0;0,00125247013052815;0;0
"atakuj¹c";0;0;0;0,000567366028161804;0;0,00101774757809049;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"atmosfera";0;0;0;0;0,00047456115641248;0;0;0;0;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
"atrakcyjny";0;0;0;0;0;0;0;0;0;0;0;0,00820229159231447;0,0114945608819632;0;0;0;0;0;0;0
"audiencja";0;0;0;0;0;0;0;0,00121901986869004;0;0;0;0;0;0;0,00082192144951765;0,00107596297260767;0;0,000306525161041236;0;0
"aut";0;0;0;0;0;0;0;0;0;0;0,015595906548767;0,00820229159231447;0;0;0;0;0;0;0;0
"auto";0;0;0;0;0,000571428571428571;0;0;0;0;0,0366300366300366;0,0187793427230047;0,0246913580246914;0,0519031141868512;0;0;0;0;0;0;0
"autodestrukcja";0;0;0;0;0,00047456115641248;0,00101774757809049;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"automatyczny";0;0;0;0;0,000390995084880887;0;0;0;0;0;0,00642480186423992;0;0,00473523459198306;0;0;0;0;0;0;0
"awantura";0;0;0;0,000467457829917371;0;0;0;0,000359228979415436;0;0;0;0;0;0,00473933436219256;0;0;0;0;0;0
"awaria";0;0;0;0;0;0;0,00245160745010137;0;0;0;0;0;0,0114945608819632;0;0;0;0;0;0;0
"baba";0;0;0;0;0,000390995084880887;0,00167706225132733;0,00201990080750274;0;0;0;0;0;0;0;0;0;0;0;0;0
"babcia";0;0;0;0,000467457829917371;0,000390995084880887;0;0;0;0;0;0;0;0;0;0;0,0012682880417823;0;0;0;0
"babidiego";0;0;0;0,000567366028161804;0;0,00305324273427147;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"baby";0;0;0;0,016361024047108;0,000390995084880887;0;0,00403980161500547;0;0;0;0;0;0;0;0;0;0;0;0;0
"badanie";0;0,0330578512396694;0;0,000683176771989752;0,000285714285714286;0;0;0;0,0168067226890756;0;0;0;0;0;0;0;0;0;0,00740740740740741;0
"badawczy";0;0,0137269755987081;0;0,000567366028161804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"baelish";0;0;0;0;0;0;0;0,00130801736247041;0;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
"baelisha";0;0;0;0;0;0;0;0,000872011574980276;0;0;0;0;0;0;0,00117590375040261;0;0;0;0;0
"baga¿nik";0;0;0;0;0;0;0;0;0;0,0255156933504106;0,0109010708680158;0,00573315578984534;0,0120515299042597;0;0;0;0;0;0;0
"ball";0;0;0;0,00356914651647929;0,00431215217621939;0,00497962520349618;0,00514080021008272;0;0;0;0;0;0;0;0;0;0;0;0;0
"ballada";0;0;0;0;0;0;0;0,000436005787490138;0;0;0;0;0;0,0028761282206817;0;0;0;0;0;0
"balon";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00117590375040261;0;0;0,0013156150870841;0;0
"balona";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000968837378465914;0,0012682880417823;0;0,000722631179977876;0;0
"bandyta";0;0;0;0;0;0;0;0;0;0;0;0;0;0,0115045128827268;0;0,00307871000452953;0;0;0;0
"banita";0;0;0;0;0;0;0;0,000359228979415436;0;0;0;0;0;0;0,00193767475693183;0,0164877445431699;0;0;0;0
"bank";0;0;0;0,000934915659834742;0,000390995084880887;0,000838531125663666;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"baratheon";0;0;0;0;0;0;0;0,00182852980303507;0;0;0;0;0;0;0,0016438428990353;0,00107596297260767;0;0,00245220128832989;0;0
"baratheona";0;0;0;0;0;0;0;0,00213328477020758;0;0;0;0;0;0;0,0016438428990353;0,0043038518904307;0;0,00521092773770101;0;0
"baratheonem";0;0;0;0;0;0;0;0,00130801736247041;0;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
"baratheonów";0;0;0;0;0;0;0;0,000436005787490138;0;0;0;0;0;0;0;0;0;0,000877076724722736;0;0
"bardo";0,00960338804970599;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0038048641253469;0;0,000722631179977876;0;0
"bardziej";0;0;0;0,000341588385994876;0,000285714285714286;0,000306372549019608;0;0,000393752460952881;0;0;0;0;0,00346020761245675;0,000865800865800866;0,000353982300884956;0,00139017608897127;0,00363636363636364;0,00066006600660066;0;0
"barristan";0;0;0;0;0;0;0;0,00107768693824631;0;0;0;0;0;0;0,00193767475693183;0;0;0,000361315589988938;0;0
"barristana";0;0;0;0;0;0;0;0,00143691591766174;0;0;0;0;0;0;0,000968837378465914;0;0;0,000722631179977876;0;0
"barwy";0;0;0;0;0;0;0;0,000436005787490138;0;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
"bawiæ";0;0;0;0,00102476515798463;0,000857142857142857;0,000612745098039216;0;0,000787504921905762;0;0;0;0;0;0;0;0,00092678405931418;0;0;0;0
"baza";0;0;0;0,00113473205632361;0;0,00101774757809049;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"beczka";0;0;0;0;0;0;0;0,000436005787490138;0;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
"belka";0;0;0;0;0;0;0;0;0;0;0,00779795327438348;0;0,0057472804409816;0;0;0;0;0;0;0
"benjen";0;0;0;0;0;0;0;0,000436005787490138;0;0;0;0;0;0;0;0;0;0,000877076724722736;0;0
"benjena";0;0;0;0;0;0;0;0,000872011574980276;0;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
"benzyniak";0;0;0;0;0;0;0;0;0;0;0,00779795327438348;0;0,0057472804409816;0;0;0;0;0;0;0
"benzynowy";0;0;0;0;0;0;0;0;0;0,00850523111680352;0,0109010708680158;0,00573315578984534;0,00803435326950644;0;0;0;0;0;0;0
"berica";0;0;0;0;0;0;0;0,000304754967172511;0;0;0;0;0;0;0,00082192144951765;0,0043038518904307;0;0,000613050322082472;0;0
"bezkarny";0;0;0;0;0;0;0;0,000436005787490138;0;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
"bezludny";0;0;0;0;0,00047456115641248;0;0;0;0;0;0;0;0;0;0;0,00153935500226476;0;0;0;0
"bezpieczeñstwo";0;0;0;0;0;0;0;0,00107768693824631;0;0;0;0;0;0;0,000968837378465914;0;0;0,00144526235995575;0;0
"bezpieczny";0;0;0;0,000593327273839866;0,00148882765214246;0,00106431715328812;0;0,000683934477293427;0;0;0;0;0;0;0,000614855077580958;0;0;0,000229302388668806;0;0
"bezpoœredni";0;0;0;0;0;0;0;0;0,0114998554376731;0;0;0;0,00473523459198306;0;0;0;0,00995260216060439;0;0;0
"bezskuteczny";0;0;0;0;0,000390995084880887;0,002515593376991;0;0,000718457958830872;0;0;0;0;0;0;0;0;0;0;0;0
"bezwzglêdny";0;0;0;0;0;0,00101774757809049;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0109997619036005
"bêd¹c";0;0;0;0,000567366028161804;0;0;0,00245160745010137;0;0;0;0;0;0;0;0;0;0;0;0;0
"bêd¹ce";0;0;0;0;0;0;0;0,000436005787490138;0;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
"bêdziemy";0;0;0;0;0;0;0;0;0;0,0243364695596144;0;0;0,0057472804409816;0;0;0;0;0;0;0
"bêkarci";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00290651213539774;0,0012682880417823;0;0,00108394676996681;0;0
"bêkart";0;0;0;0;0;0;0;0,000914264901517533;0;0;0;0;0;0;0,0016438428990353;0,00107596297260767;0;0,000919575483123708;0;0
"bia³a";0;0;0;0;0;0;0;0,000436005787490138;0;0;0;0;0;0;0,00117590375040261;0;0;0;0;0
"bia³e";0;0;0;0;0;0;0;0,000436005787490138;0;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
"bia³y";0;0;0;0;0;0;0,0029520295202952;0,000525003281270508;0;0;0;0;0;0,00346320346320346;0,00212389380530973;0;0;0,00132013201320132;0;0
"biblioteka";0;0;0;0;0;0;0;0,000872011574980276;0;0;0;0;0;0;0;0;0;0,000877076724722736;0;0
"bicie";0;0;0;0;0;0,00203549515618098;0;0;0;0;0;0;0;0;0;0;0;0,000877076724722736;0;0
"biæ";0;0;0;0,0107515300880995;0,00508293610345153;0;0;0;0;0;0;0;0;0;0;0;0;0,000361315589988938;0;0
"bieg";0;0;0;0;0;0;0;0;0;0,0293040293040293;0,00469483568075117;0,00493827160493827;0,00346020761245675;0,00173160173160173;0;0;0;0;0;0
"biegn¹æ";0;0;0;0,00283683014080902;0;0;0;0,000436005787490138;0;0;0;0;0;0;0;0;0;0;0;0
"biegunka";0;0,0274539511974162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0123034373884717;0
"bielizna";0;0;0;0;0,00142368346923744;0;0,00245160745010137;0;0;0;0;0;0;0;0;0;0;0;0;0
"bitwa";0,00808423223470211;0;0,00480001288935438;0;0,0003291437409843;0;0;0,00090720810613864;0;0;0;0;0;0,00099740527571;0,000407788705644265;0,00320297430985649;0;0,00212911462814927;0;0,00381457977961937
"black";0;0;0;0,000567366028161804;0,00142368346923744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"blackfish";0;0;0;0;0;0;0;0,000359228979415436;0;0;0;0;0;0;0,000968837378465914;0,0012682880417823;0;0;0;0
"blackfisha";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00117590375040261;0;0;0,000438538362361368;0;0
"blackfishem";0;0;0;0;0;0;0;0,000436005787490138;0;0;0;0;0;0;0;0,00153935500226476;0;0;0;0
"blackfishowi";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00117590375040261;0,00153935500226476;0;0;0;0
"bliski";0;0;0;0,00170794192997438;0;0,00122549019607843;0;0,000262501640635254;0;0;0;0;0;0;0,000707964601769912;0;0;0,000528052805280528;0;0
"bliŸniak";0;0;0;0;0;0;0;0,00182852980303507;0;0;0;0;0;0;0,00904113594469415;0,00107596297260767;0;0,000306525161041236;0;0
"bli¿ej";0;0;0;0;0;0;0;0,000359228979415436;0;0;0;0;0;0;0,000968837378465914;0;0;0,000722631179977876;0;0
"blount";0;0;0;0;0;0;0;0,000436005787490138;0;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
"b³agaæ";0;0;0;0,000396571835164366;0;0;0;0,000914264901517533;0;0;0;0;0;0;0,00082192144951765;0;0;0,00122610064416494;0;0
"b³azen";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00153935500226476;0;0,00394684526125231;0;0
"b³êkitny";0;0;0;0;0;0,00203549515618098;0;0,000436005787490138;0;0;0;0;0;0;0;0;0;0;0;0
"b³yskawica";0;0;0;0;0;0;0,00245160745010137;0;0;0;0;0;0;0;0;0,00307871000452953;0;0;0;0
"b³yskawiczny";0;0;0;0;0,000390995084880887;0,000838531125663666;0;0,00107768693824631;0;0;0;0;0;0;0;0;0;0;0;0
"bogate";0;0;0;0;0;0;0;0;0;0;0;0;0,0114945608819632;0;0;0;0;0,000438538362361368;0;0
"bogaty";0;0;0;0;0;0;0;0;0;0;0,00779795327438348;0;0;0;0;0;0;0,000877076724722736;0;0
"bogini";0;0;0;0;0,00047456115641248;0;0;0;0;0;0;0;0;0,0028761282206817;0;0;0;0;0;0
"bohater";0;0;0;0,00310416363346833;0,00108183798059268;0,00371218914909254;0,00670659707526092;0,000198788971364977;0;0;0,00355533608645483;0;0;0;0,00160839628973072;0;0;0;0;0
"boi";0;0;0;0,000683176771989752;0,000285714285714286;0;0;0,000787504921905762;0;0;0;0;0;0,00346320346320346;0;0;0;0,000792079207920792;0;0
"boj¹";0;0;0;0,000567366028161804;0,000949122312824961;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bok";0;0;0;0;0;0;0;0,000872011574980276;0;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
"bolton";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00290651213539774;0,0038048641253469;0;0,00180657794994469;0;0
"boltona";0;0;0;0;0;0;0;0,000304754967172511;0;0;0;0;0;0;0,00410960724758825;0,00215192594521535;0;0,000919575483123708;0;0
"bomba";0;0;0;0,000934915659834742;0,00117298525464266;0;0,00201990080750274;0;0;0;0;0;0;0;0;0;0;0;0;0
"boros";0;0;0;0;0;0;0;0,000436005787490138;0;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
"borosa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00153935500226476;0;0,000877076724722736;0;0
"boski";0;0;0;0,000793143670328732;0,00199022408133202;0,000711375029070883;0,00171360007002757;0;0;0;0;0;0;0;0;0;0;0;0;0
"bo¿y";0;0;0;0;0;0;0;0,00213328477020758;0;0;0;0;0;0;0,00410960724758825;0,00107596297260767;0;0,00367830193249483;0;0
"bóg";0;0;0;0,000903110568667711;0,0143523621730628;0,00283501736035893;0,00195118537990755;0,0010410248811293;0;0;0;0;0;0;0,000467939148632695;0,000612570942950585;0;0,00244316743609546;0;0
"ból";0;0,0330578512396694;0;0,000341588385994876;0;0;0;0;0;0;0;0;0;0;0;0,00092678405931418;0,0145454545454545;0;0,0296296296296296;0
"bra";0;0;0;0,00397156219713263;0,00142368346923744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"braavos";0;0;0;0;0;0;0;0,000359228979415436;0;0;0;0;0;0;0,000968837378465914;0;0;0,000361315589988938;0;0
"bracia";0;0;0;0,00273270708795901;0;0;0;0,00262501640635254;0;0;0;0;0;0;0,00283185840707965;0,00185356811862836;0;0,00211221122112211;0;0
"bracie";0;0;0;0;0;0;0;0,000359228979415436;0;0;0;0;0;0;0;0,0012682880417823;0;0,000361315589988938;0;0
"braciom";0;0;0;0,00113473205632361;0;0;0;0;0;0;0;0;0;0;0,00117590375040261;0;0;0;0;0
"braæ";0,00302630342543882;0;0;0,0016204032858669;0,000246427564642876;0,00105698097579665;0,00190958629428059;0,00430172806109758;0;0;0,00809855846244193;0,00212962092901251;0;0;0,00183185092300899;0,00319739194161285;0;0,00284652302392761;0;0
"braæmi";0;0;0;0,000467457829917371;0;0;0;0,00215537387649262;0;0;0;0;0;0;0;0;0;0,00108394676996681;0;0
"brak";0;0;0;0,000296663636919933;0;0;0;0,000455956318195618;0;0,00636251133394215;0;0;0;0,00150386631529542;0;0;0;0,000917209554675224;0,0128664118086386;0
"brakowa³o";0;0;0;0;0;0;0;0,000872011574980276;0;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
"brakuje";0;0,00826446280991736;0;0,000341588385994876;0;0;0;0;0;0;0;0,00493827160493827;0,00346020761245675;0;0;0;0;0,00184818481848185;0;0
"bram";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00117590375040261;0;0;0,000877076724722736;0;0
"brama";0;0;0;0,00102476515798463;0;0;0;0,000787504921905762;0;0;0;0;0;0;0,00707964601769911;0,00092678405931418;0;0,00105610561056106;0;0
"bran";0;0;0;0;0;0;0;0,00761887417931278;0;0;0;0;0;0;0,00246576434855295;0,0043038518904307;0;0,00582397805978348;0;0
"branem";0;0;0;0;0;0;0;0,000718457958830872;0;0;0;0;0;0;0;0,0012682880417823;0;0,000361315589988938;0;0
"branowi";0;0;0;0;0;0;0;0,00130801736247041;0;0;0;0;0;0;0;0;0;0,00219269181180684;0;0
"brat";0;0;0;0,000296663636919933;0;0,00106431715328812;0;0,00319169422736933;0;0;0;0;0;0;0,00184456523274287;0,00160979202425042;0;0,00229302388668806;0;0
"brata";0;0;0;0,000593327273839866;0,000744413826071231;0;0;0,00182382527278247;0;0;0;0;0;0;0,00430398554306671;0,00160979202425042;0;0,00206372149801925;0;0
"bratem";0;0;0;0,000396571835164366;0;0,00142275005814177;0;0,00121901986869004;0;0;0;0;0;0;0;0;0;0,000613050322082472;0;0
"bratu";0;0;0;0;0;0;0;0,00130801736247041;0;0;0;0;0;0;0,00117590375040261;0;0;0;0;0
"brienne";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00484418689232957;0,0202926086685168;0;0,00578104943982301;0;0
"brokilonu";0,0116558880522364;0;0,0138413670620307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"broniæ";0;0;0;0;0,0013165749639372;0,000352942124217233;0;0,00181441621227728;0;0,00421979155108077;0;0;0;0,00199481055142;0,00203894352822133;0,00160148715492824;0;0,00197703501185289;0;0,00381457977961937
"bronn";0;0;0;0;0;0;0;0,00261603472494083;0;0;0;0;0;0;0;0;0;0,00219269181180684;0;0
"bronnowi";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000968837378465914;0,0025365760835646;0;0,000361315589988938;0;0
"bronny";0;0;0;0;0;0;0;0,000718457958830872;0;0;0;0;0;0;0,000968837378465914;0;0;0,000722631179977876;0;0
"broñ";0;0;0;0,000341588385994876;0,000285714285714286;0;0;0,00157500984381152;0;0;0;0;0;0;0,00141592920353982;0;0;0,000792079207920792;0;0
"brutalny";0;0;0;0;0;0,00101774757809049;0;0;0;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
"brynden";0;0;0;0;0;0;0;0,00130801736247041;0;0;0;0;0;0;0;0,00153935500226476;0;0;0;0
"brzeg";0;0;0;0;0,000390995084880887;0;0;0,000359228979415436;0;0;0;0;0;0;0;0;0;0,00144526235995575;0;0
"brzuch";0;0;0;0,000567366028161804;0,00047456115641248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"budokai";0;0;0;0;0,000390995084880887;0,000838531125663666;0,00605970242250821;0;0;0;0;0;0;0;0;0;0;0;0;0
"budowa";0;0;0;0,000567366028161804;0;0;0,00245160745010137;0;0;0;0;0;0;0;0;0;0;0;0;0
"budowaæ";0;0;0;0,000567366028161804;0;0;0;0;0;0;0;0;0;0;0,00235180750080521;0;0;0;0;0
"budowla";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00153935500226476;0;0,000438538362361368;0;0
"budynek";0;0;0;0,00420712046925634;0;0;0;0,000718457958830872;0;0;0;0;0;0;0;0;0;0,00108394676996681;0;0
"budziæ";0;0;0;0,00338666463250392;0,000377693741396389;0,00243001488030765;0;0,0010410248811293;0;0;0;0;0,00228707282852485;0,00114452648907997;0,000467939148632695;0;0;0,00157060763748994;0;0
"buliæ";0;0;0;0,00186983131966948;0,00821089678249862;0,00335412450265466;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bulma";0;0;0;0,00872458037361605;0,0122730485015475;0,00355687514535441;0,00171360007002757;0;0;0;0;0;0;0;0;0;0;0;0;0
"bulm¹";0;0;0;0,000567366028161804;0,00142368346923744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bulmê";0;0;0;0,0023794310109862;0,00331704013555337;0,00142275005814177;0,00514080021008272;0;0;0;0;0;0;0;0;0;0;0;0;0
"bulmie";0;0;0;0,000567366028161804;0,00047456115641248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bu³ka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00307871000452953;0;0,00175415344944547;0;0
"bunt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00153935500226476;0;0,000438538362361368;0;0
"buntownik";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00153935500226476;0;0,000438538362361368;0;0
"burdel";0;0;0;0;0;0;0;0,00107768693824631;0;0;0;0;0;0;0,000968837378465914;0;0;0,00180657794994469;0;0
"burzyæ";0;0;0;0,000341588385994876;0,000285714285714286;0;0;0;0;0;0;0;0;0;0,000707964601769912;0,00092678405931418;0;0,00475247524752475;0;0
"but";0;0;0;0;0,000949122312824961;0;0,00245160745010137;0;0;0;0;0;0;0;0;0;0;0;0;0
"buteleczka";0;0;0;0,000467457829917371;0,000390995084880887;0;0;0;0;0;0;0;0;0;0;0;0;0,000361315589988938;0;0
"buu";0;0;0;0,000567366028161804;0;0,00814198062472393;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"byæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0,00173160173160173;0,000707964601769912;0,00185356811862836;0,00727272727272727;0,000792079207920792;0;0
"by³oby";0;0;0;0;0;0;0;0,000872011574980276;0;0;0;0;0;0;0;0;0;0,0013156150870841;0;0
"by³y";0;0;0;0;0;0,000711375029070883;0;0,000304754967172511;0;0;0;0;0;0;0;0,00107596297260767;0;0,000306525161041236;0;0
"bystry";0;0;0;0;0;0;0;0,000436005787490138;0;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
"bywaæ";0;0;0;0;0;0;0;0;0;0;0,00779795327438348;0;0;0;0;0;0;0,000438538362361368;0;0
"caed";0,0116558880522364;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0219995238072011
"cahir";0,0349676641567091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0109997619036005
"cahira";0,0116558880522364;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0109997619036005
"cailin";0;0;0;0;0;0;0;0,00107768693824631;0;0;0;0;0;0;0,000968837378465914;0;0;0,000361315589988938;0;0
"ca³kiem";0;0;0;0;0;0,00203549515618098;0;0;0;0;0;0,0164045831846289;0;0;0;0;0;0;0;0
"ca³kowity";0;0;0;0;0,00047456115641248;0;0;0;0;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
